Taxable status,State/ Territory1,Postcode,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Tax withheld from salary or wages
no.","Tax withheld from salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$"
Non Taxable,SA,5575,392,384,"4,380,335",100,"117,943",0,0,0,0,0,0,0,0,0,0,130,"1,523,313",118,"178,448",22,"23,511",2,"5,965",2,326,56,"430,368",62,"775,762",5,"90,695",11,"175,488",221,"218,882",87,"10,003",145,"245,644",145,"104,616",390,"4,915,878"
Non Taxable,SA,5576,192,183,"2,355,512",59,"54,165",0,0,0,0,0,0,0,0,0,0,75,"782,443",62,"97,396",6,"7,486",1,"2,192",0,0,27,"244,806",34,"501,914",2,"1,030",3,"8,961",110,"135,022",37,"3,645",62,"87,315",62,"37,869",190,"2,573,060"
Non Taxable,SA,5577,111,98,"1,070,003",34,"83,540",1,"1,952",0,0,0,0,0,0,0,0,43,"653,858",37,"95,298",14,"13,735",0,0,1,660,15,"126,219",13,"167,475",0,0,1,"25,027",69,"125,853",13,"2,451",27,"41,655",27,"17,518",109,"1,498,077"
Non Taxable,SA,5580,69,64,"543,807",22,"29,226",0,0,0,0,0,0,0,0,0,0,23,"249,045",20,"23,603",6,"2,676",0,0,0,0,8,"52,201",9,"109,046",1,"21,715",1,"19,381",39,"71,131",15,"2,012",19,"77,110",19,"33,042",66,"582,738"
Non Taxable,SA,5581,104,101,"1,101,366",33,"28,062",0,0,0,0,0,0,0,0,0,0,26,"265,048",22,"32,759",5,"36,542",0,0,0,0,6,"46,953",24,"340,757",1,686,1,"1,303",63,"125,073",23,"6,141",49,"112,594",49,"47,539",101,"1,171,022"
Non Taxable,SA,5582,114,111,"1,400,988",31,"89,127",1,"4,144",0,0,0,0,0,0,0,0,43,"725,862",38,"68,512",4,"11,791",0,0,0,0,21,"175,914",16,"216,709",2,"1,246",4,"71,778",56,"80,838",14,"4,233",37,"81,246",37,"34,663",112,"1,472,818"
Non Taxable,SA,5583,133,127,"1,804,276",50,"72,445",0,0,0,0,0,0,0,0,0,0,42,"496,274",38,"51,079",6,"5,964",0,0,1,40,19,"169,696",34,"436,158",1,"5,483",5,"91,716",80,"224,756",27,"2,798",40,"91,630",40,"39,857",131,"1,919,899"
Non Taxable,SA,5600,744,720,"8,732,198",210,"270,820",3,"4,799",0,0,0,0,0,0,0,0,371,"4,518,240",340,"479,270",49,"117,522",5,"8,941",2,821,113,"1,034,394",111,"1,430,342",4,"39,809",9,"95,855",400,"399,449",131,"23,201",224,"596,103",224,"255,369",729,"9,336,327"
Non Taxable,SA,5602,191,174,"1,403,366",39,"44,572",0,0,0,0,0,0,0,0,0,0,76,"836,283",69,"116,511",11,"4,116",1,"4,410",0,0,16,"130,117",38,"460,463",1,"20,233",2,"40,556",127,"192,627",30,"7,479",51,"76,943",51,"33,038",186,"1,658,712"
Non Taxable,SA,5603,85,83,"165,701",20,"16,646",0,0,0,0,0,0,0,0,0,0,26,"306,074",23,"50,425",1,752,2,"6,931",0,0,13,"87,534",15,"210,202",0,0,0,0,52,"67,545",17,"3,009",31,"33,934",31,"14,484",85,"221,974"
Non Taxable,SA,5604,45,44,"395,774",13,"9,343",0,0,0,0,0,0,0,0,0,0,15,"185,171",13,"24,332",3,"13,521",0,0,0,0,4,"49,697",9,"117,966",1,"9,234",0,0,24,"31,087",6,459,14,"21,342",14,"9,133",44,"450,648"
Non Taxable,SA,5605,333,322,"2,320,068",101,"163,420",0,0,0,0,0,0,0,0,0,0,104,"1,343,127",93,"162,601",22,"9,820",0,0,0,0,28,"219,174",62,"834,940",6,"54,149",11,"195,615",221,"263,624",65,"12,881",114,"193,009",114,"82,665",327,"2,606,095"
Non Taxable,SA,5606,"1,988","1,924","22,910,091",547,"547,288",0,0,0,0,0,0,0,0,0,0,"1,015","11,015,753",884,"1,089,585",114,"66,577",7,"16,947",6,"2,907",338,"2,847,904",364,"4,533,608",8,"31,558",27,"493,265",971,"1,011,820",242,"68,856",505,"1,120,052",505,"476,902","1,950","24,296,026"
Non Taxable,SA,5607,594,561,"4,722,658",146,"145,250",2,"2,297",0,0,0,0,0,0,0,0,263,"2,993,601",237,"333,732",43,"23,033",0,0,0,0,83,"661,790",68,"843,740",2,"12,927",10,"222,754",339,"264,615",63,"7,903",133,"461,477",133,"168,756",579,"5,961,493"
Non Taxable,SA,5608,"1,297","1,258","17,170,431",395,"376,946",0,0,0,0,0,0,0,0,0,0,682,"7,196,562",621,"658,456",91,"42,767",6,"12,369",4,"5,963",385,"3,668,610",275,"3,885,595",10,"76,476",24,"342,232",538,"299,825",128,"15,695",231,"520,816",231,"221,822","1,261","17,550,494"
Non Taxable,SA,5609,193,182,"2,214,964",45,"30,167",0,0,0,0,0,0,0,0,0,0,116,"1,366,793",106,"130,258",13,"5,300",2,"6,033",0,0,37,"324,892",24,"277,605",0,0,1,"5,597",83,"40,560",13,"2,139",29,"37,092",29,"15,859",184,"2,312,743"
Non Taxable,SA,5630,11,11,"138,318",3,"1,088",0,0,0,0,0,0,0,0,0,0,3,"21,624",3,"1,180",0,0,0,0,0,0,1,980,0,0,0,0,0,0,7,"12,690",1,46,2,462,2,195,11,"138,378"
Non Taxable,SA,5631,190,181,"1,281,746",56,"34,599",0,0,0,0,0,0,0,0,0,0,86,"983,791",71,"112,225",14,"1,220",0,0,0,0,27,"221,684",21,"318,586",1,"5,446",3,"3,359",106,"105,816",31,"8,196",74,"77,985",75,"33,214",187,"1,587,584"
Non Taxable,SA,5632,29,28,"-77,100",5,"2,669",0,0,0,0,0,0,0,0,0,0,17,"183,521",14,"24,439",2,180,1,868,0,0,3,"11,617",0,0,0,0,0,0,18,"43,982",5,988,7,"8,597",7,"3,681",29,"-51,854"
Non Taxable,SA,5633,67,63,"-1,225,933",14,"7,313",0,0,0,0,0,0,0,0,0,0,21,"210,262",21,"25,259",2,80,0,0,0,0,9,"71,855",4,"78,288",0,0,0,0,30,"27,914",10,656,13,"4,524",13,"1,935",63,"-876,557"
Non Taxable,SA,5640,196,183,"543,355",48,"42,275",0,0,0,0,0,0,0,0,0,0,85,"742,941",65,"82,556",10,"3,966",0,0,0,0,24,"161,036",29,"391,126",0,0,1,"17,135",134,"165,587",33,"9,735",54,"82,886",54,"35,510",191,"1,293,101"
Non Taxable,SA,5641,181,175,"386,570",52,"43,395",0,0,0,0,0,0,0,0,0,0,61,"767,612",53,"98,238",11,"9,779",0,0,1,"8,203",13,"116,633",18,"253,301",1,"2,482",1,271,112,"120,938",33,"10,812",57,"65,906",57,"28,106",178,"814,763"
Non Taxable,SA,5642,38,36,"-188,312",4,"40,455",1,"2,688",0,0,0,0,0,0,0,0,12,"107,508",9,"12,644",1,70,0,0,0,0,0,0,0,0,0,0,0,0,20,"41,373",12,"3,321",13,"57,352",13,"24,576",36,"-183,620"
Non Taxable,SA,5650,26,23,"-132,840",4,900,0,0,0,0,0,0,0,0,0,0,17,"147,038",15,"19,181",1,21,0,0,0,0,1,"13,722",0,0,0,0,0,0,19,"8,277",1,405,3,"7,003",3,"3,000",23,"-115,566"
Non Taxable,SA,5651,26,23,"-527,214",7,"3,864",0,0,0,0,0,0,0,0,0,0,9,"126,052",7,"17,279",0,0,0,0,0,0,0,0,2,"32,216",0,0,0,0,22,"44,610",4,284,8,"10,943",8,"4,689",25,"-518,429"
Non Taxable,SA,5652,129,125,"411,356",33,"19,152",0,0,0,0,0,0,0,0,0,0,51,"559,200",41,"52,887",3,"4,065",0,0,0,0,10,"97,597",28,"379,104",0,0,0,0,87,"88,720",17,"8,844",22,"29,752",22,"12,684",126,"509,451"
Non Taxable,SA,5653,10,10,"-147,198",2,"1,115",0,0,0,0,0,0,0,0,0,0,3,"16,205",1,"3,098",0,0,0,0,0,0,2,"25,829",0,0,0,0,0,0,8,"7,497",2,32,3,"8,624",3,"3,695",10,"-143,158"
Non Taxable,SA,5654,28,27,"-30,828",10,"1,462",0,0,0,0,0,0,0,0,0,0,15,"182,993",11,"23,356",3,"9,683",0,0,0,0,3,"8,571",2,"32,974",1,"6,793",0,0,20,"29,599",2,113,2,733,2,314,27,"-15,756"
Non Taxable,SA,5655,23,23,"149,271",8,"3,664",0,0,0,0,0,0,0,0,0,0,9,"131,450",7,"12,944",1,"6,727",0,0,0,0,1,"14,033",1,"4,057",0,0,0,0,15,"21,738",0,0,11,"59,120",11,"22,626",23,"167,255"
Non Taxable,SA,5661,16,16,"172,828",5,"1,967",0,0,0,0,0,0,0,0,0,0,9,"88,105",7,"8,720",2,168,0,0,0,0,3,"26,459",0,0,0,0,0,0,10,"2,723",3,22,3,202,3,86,16,"174,230"
Non Taxable,SA,5670,86,82,"925,826",21,"16,341",0,0,0,0,0,0,0,0,0,0,44,"430,369",39,"53,657",7,"7,900",2,"18,570",1,263,14,"118,497",11,"158,059",0,0,0,0,52,"40,054",9,356,13,"30,545",13,"13,068",85,"984,042"
Non Taxable,SA,5671,32,30,"-9,996",5,"1,212",0,0,0,0,0,0,0,0,0,0,10,"107,726",10,"13,238",0,0,0,0,0,0,5,"48,258",3,"35,315",0,0,0,0,25,"25,345",6,"1,065",6,"18,761",6,"8,039",31,"5,482"
Non Taxable,SA,5680,398,388,"4,621,427",117,"173,959",2,"4,647",1,"2,883",0,0,0,0,0,0,202,"2,038,969",164,"203,785",19,"28,339",1,"1,798",0,0,58,"502,978",57,"685,376",5,"28,942",6,"96,325",229,"420,754",66,"7,184",110,"147,000",109,"61,682",394,"4,959,503"
Non Taxable,SA,5690,466,450,"5,197,626",140,"133,088",1,647,0,0,0,0,0,0,0,0,277,"3,033,603",254,"310,360",26,"64,612",0,0,4,"5,989",100,"881,776",91,"1,088,655",2,"4,167",6,"91,239",220,"270,928",47,"10,842",81,"102,696",81,"44,153",455,"5,713,802"
Non Taxable,SA,5700,"1,189","1,152","16,144,227",376,"513,020",3,"7,527",0,0,0,0,0,0,0,0,697,"7,313,458",646,"825,224",86,"69,483",5,"4,337",5,"6,015",261,"2,347,543",266,"3,545,164",9,"62,924",40,"818,861",548,"446,568",129,"69,663",235,"442,269",235,"187,668","1,158","17,482,956"
Non Taxable,SA,5710,205,196,"2,492,248",58,"35,636",0,0,0,0,0,0,0,0,0,0,119,"1,553,811",106,"186,146",10,"5,258",3,"10,652",1,"9,230",23,"203,436",29,"274,262",2,"20,114",6,"90,602",120,"67,865",24,"20,569",45,"58,591",46,"27,256",200,"2,696,414"
Non Taxable,SA,5720,12,12,"131,456",5,"2,017",0,0,0,0,0,0,0,0,0,0,8,"100,932",7,"13,488",0,0,0,0,0,0,3,"8,212",1,"4,915",0,0,0,0,8,591,0,0,0,0,0,0,12,"135,350"
Non Taxable,SA,5722,57,56,"813,580",22,"21,054",0,0,0,0,0,0,0,0,0,0,26,"236,716",20,"21,802",1,69,0,0,0,0,13,"152,113",10,"140,353",0,0,0,0,20,"14,698",6,510,8,"30,001",8,"12,858",57,"840,821"
Non Taxable,SA,5723,230,227,"3,103,078",68,"88,861",0,0,0,0,0,0,0,0,0,0,111,"1,083,806",100,"143,160",15,"21,554",0,0,2,"1,923",53,"523,714",48,"648,126",0,0,3,"56,192",98,"57,481",11,"1,193",26,"25,927",26,"11,105",228,"3,185,412"
Non Taxable,SA,5724,44,43,"405,366",15,"14,000",0,0,0,0,0,0,0,0,0,0,30,"309,582",28,"28,327",1,"13,658",0,0,0,0,21,"176,028",5,"55,693",0,0,0,0,11,"1,264",1,44,1,404,1,173,43,"416,814"
Non Taxable,SA,5725,307,296,"3,671,083",78,"62,502",0,0,0,0,0,0,0,0,0,0,237,"3,141,526",228,"380,584",25,"15,962",0,0,1,"5,500",31,"227,521",22,"332,242",2,"17,330",2,"10,655",138,"55,474",11,574,31,"32,188",31,"13,786",299,"3,884,581"
Non Taxable,SA,5730,21,21,"246,506",4,"6,761",0,0,0,0,0,0,0,0,0,0,12,"120,597",12,"13,294",0,0,0,0,0,0,7,"56,850",1,"20,738",0,0,0,0,12,"4,663",2,449,3,"4,858",3,"2,081",21,"270,504"
Non Taxable,SA,5731,27,25,"141,089",5,"3,554",0,0,0,0,0,0,0,0,0,0,14,"216,762",13,"28,346",3,"2,128",0,0,0,0,6,"58,929",2,"41,274",0,0,0,0,9,"4,777",2,43,4,"3,583",4,"1,536",26,"193,017"
Non Taxable,SA,5732,31,31,"445,743",6,"1,763",0,0,0,0,0,0,0,0,0,0,22,"158,501",20,"20,956",2,"1,972",0,0,0,0,15,"181,874",3,"22,041",0,0,0,0,10,"1,543",1,17,1,160,1,68,31,"452,507"
Non Taxable,SA,5733,19,18,"191,059",5,"2,955",0,0,0,0,0,0,0,0,0,0,14,"112,784",10,"14,408",2,"2,322",0,0,0,0,3,"36,195",2,"33,369",0,0,0,0,9,"13,141",2,13,3,"9,301",3,"3,985",18,"197,825"
Non Taxable,SA,5734,18,17,"272,695",7,"6,990",0,0,0,0,0,0,0,0,0,0,16,"240,316",16,"30,997",1,25,0,0,0,0,6,"37,909",1,"18,225",0,0,0,0,5,341,1,148,1,225,1,96,17,"294,095"
Non Taxable,SA,SA other,324,307,"3,672,779",88,"90,534",0,0,0,0,0,0,0,0,0,0,144,"1,587,234",122,"186,215",25,"86,180",3,"8,987",3,654,44,"410,855",56,"755,276",2,"2,084",7,"165,863",175,"210,479",33,"17,492",70,"173,293",70,"74,713",317,"4,294,727"
Non Taxable,TAS,7000,"2,362","2,292","26,939,193",543,"562,424",6,"3,127",0,0,0,0,0,0,1,"4,125","1,301","11,860,521","1,111","1,158,345",144,"228,418",10,"47,092",1,10,362,"3,051,536",221,"2,428,100",13,"51,160",126,"2,486,719","1,308","1,375,806",150,"51,914",538,"998,096",538,"421,085","2,306","28,478,216"
Non Taxable,TAS,7001,353,349,"2,382,563",57,"68,828",0,0,0,0,0,0,0,0,0,0,31,"289,004",27,"34,717",4,"1,083",0,0,0,0,7,"42,596",46,"647,009",2,"10,381",26,"404,321",89,"146,426",20,"4,430",277,"467,291",277,"148,321",350,"2,435,131"
Non Taxable,TAS,7002,18,18,"225,661",5,"4,584",0,0,0,0,0,0,0,0,0,0,8,"70,733",8,"9,080",1,54,0,0,0,0,4,"18,395",2,"28,648",0,0,1,"22,506",12,"7,124",0,0,3,"1,240",3,530,18,"230,871"
Non Taxable,TAS,7004,"1,354","1,313","15,913,211",322,"478,422",3,"4,803",2,"2,940",0,0,0,0,0,0,677,"6,309,977",603,"674,590",88,"84,114",2,"3,579",5,"14,076",161,"1,244,570",168,"1,817,832",5,"45,353",71,"1,266,526",823,"1,109,833",137,"135,622",380,"866,021",380,"371,432","1,315","17,499,097"
Non Taxable,TAS,7005,"2,897","2,793","32,285,599",643,"1,135,958",11,"26,023",3,"8,204",0,0,0,0,0,0,"1,507","13,696,985","1,298","1,431,282",166,"285,960",4,"34,695",3,"3,846",222,"1,732,431",274,"2,722,486",14,"92,154",151,"2,920,881","1,735","2,284,820",305,"122,016",726,"2,117,266",724,"895,324","2,802","34,212,268"
Non Taxable,TAS,7006,28,28,"497,566",9,"54,795",0,0,0,0,0,0,0,0,0,0,7,"78,305",5,"8,079",1,10,0,0,0,0,0,0,4,"41,052",1,"1,379",1,"25,287",19,"45,200",5,"1,121",20,"29,021",20,"12,210",28,"534,470"
